County;Agency_Name;Trading_Name;Address;Licence_Number;Phone;Email;Website;Covered_Fields
Cork;GI Group Recruitment Ireland Limited;;Unit 3C River House Blackpool Retail Park Co. Cork;EA5138;353214274700;cork.ie@gigroup.com;https://www.gigroup.ie/;Industrial, Logistics & Warehousing , Admin & Office, Technical
Cork;GO Global JRB Healthcare Agency Limited;Global Healthcare;19 Haldene Curraheen Road Bishopstown Co. Cork T12 C2XW;EA3869;;;;Care & Healthcare
Cork;Harry Walsh Associates Limited;Harry Walsh Associates;Maryborough Lodge Maryborough Hill Douglas Co. Cork T12 X46W;EA1169;353214368330;harry@hwa.ie;https://hwa.ie;Engineering, Accounting & Finance, Supply Chain, HR, Pharma
Cork;Healthcare Source Limited;;Unit 7 Karlbrook Enterprise Park Dougcloyne Industrial Estate Sarsfiled Road, Wilton Co. Cork;EA5344;3532546061;info@healthcaresource.ie;https://healthcaresource.ie/;Care & Healthcare
Cork;Hobson Prior International Ltd;;Office 452 Waterfront Square 1 Horgan's Quay Co. Cork T23 PPT8;EA4781;353212128925;;https://www.hobsonprior.com/;Life Sciences
Cork;HR Consult and Talent Solutions Limted;HR and Talent Solutions;Mitchelstown Enterprise Centre Dublin Road Mitchelstown Co. Cork P67 X660;EA5007;;kelly@hrandtalentsolutions.ie | stacey@hrandtalentsolutions.ie;https://www.hrandtalentsolutions.ie/;
Cork;Insight Global Evergreen Ireland Limited;Insight Global Evergreen Ireland Limited;First Floor, Penrose Two Penrose Dock Co. Cork T23YY09;EA5283;;;https://evergreen.insightglobal.com/contact-us/;IT & Data Science, Consultancy, General Recruitment
Cork;IRE Communications Limited;IRE Recruitment Services;Unit 6 Kilnap Business & Technology Park Old Mallow Road Co. Cork;EA2159;353214670600;Leona@ireservices.ie;https://www.ireservices.ie/;Technical, Engineering
Cork;Kate Mulcahy;R2S Recruitment;11 Old Head View Kinsale Manor Kinsale Co. Cork;EA5186;353894795748;info@r2srecruitment.com;https://r2srecruitment.com/contact-us/;General Recruitment
Cork;Kwabena Boateng;Boatglor Recruitment;18 Cul Na Greina Drimoleague Co. Cork P47 E438;EA4901;;;;General Recruitment
Cork;LCA Consulting Limited;;Acorn Business Campus Blackrock Co. Cork;EA3183;353214536110;info@lcaconsulting.ie;https://www.lcaconsulting.ie/;IT & Data Science
Cork;Life Science Consultants Limited;LSC;Unit 5 Kinsale Commercial Park Knocknabohilly Kinsale Co. Cork P17 AE97;EA3148;353214777329;recruit@lsc.ie;https://lscconnect.com/contact/;Life Sciences, Engineering, Project Management
Cork;Marsi Care;Marsi Care;Unit P5 Marina Commersial Park Center Park rd Ballintemple Co. Cork;EA5360;353876661926;marsi091827@gmail.com;https://marsicare.com/contact/;Care & Healthcare
Cork;MBO Partners Ltd;MBO Partners Ltd;Rossmore Kilbarry Macroom Co. Cork P12 VX22;EA5351;353877553466;info@cp.mbopartners.com;https://www.mbopartners.com/;General Recruitment, HR
Cork;MEP Engineering Ltd;;No. 6 Portgate Business Park Raffeen Monkstown Co. Cork;EA3638;353818222212;info@mep.ie;https://mep.ie;Engineering, Technical
Cork;Next Level Candidates Ltd;Next Level Candidates;St Martha Batchelors Walk Mallow Co. Cork;EA5340;;;;Hospitality, Catering
Cork;Nilesh Vincent;Indo-Irish Health Recruit;18 Amber Way The Miles Clonakilty Co. Cork P85 AE37;EA4948;353892371605;info@indoirishhealthrecruit.ie;https://www.indoirishhealthrecruit.ie/;Care & Healthcare
Cork;NRL Recruitment Ltd;NRL Recruitment Ltd;85 South Mall Co. Cork T12TP8D;EA4596;353864406228;;https://www.nrl.co.uk/branches/Ireland;Engineering, Oil & Gas, Pharma, Construction
Cork;O'Connell Specialists Recruitment Ltd;OCS Recruitment;Office 3 Unit 11 Faber Castell Business Park Fermoy Co. Cork P61 FP52;EA5065;353216017994;info@ocsrecruitment.com;https://www.ocsrecruitment.com/;Care & Healthcare, Social Care, Admin & Office
Cork;Occupli Limited;Occupli Recuitment;Euro Business Park Little Island Co. Cork T45DK25;EA2261;353214978100;careers@occupli.com;https://occupli.com;Safety, Compliance, Engineering, Pharma
Cork;Omnipresent Ireland Limited;;1st Floor, Penrose 2 Penrose Dock Co. Cork T23 YY09;EA4671;;;https://www.omnipresent.com/book-a-consultation;Remote, HR, Payroll, General Recruitment
Cork;Orion Group Sciences Limited;Orion Group Sciences Limited;1st Floor, Penrose 1 Penrose Dock Cork Co. Cork T23 KW81;EA4280;441463230860;;https://www.orionjobs.com/contact-us/jobs-in-ireland/;Life Sciences, Engineering, Oil & Gas, Construction
Cork;Oxford Global Resources Limited;Oxford International;Penrose Quay Cork City Co. Cork T23 XY28;EA2367;353214857200;;https://www.oxfordcorp.com/en/;IT & Data Science, Engineering, Life Sciences
Cork;PharmEng Limited;PEGlobal;8 Eastgate Avenue Eastgate Business Park Little Island Co. Cork;EA3121;353214297900;queries@peglobal.net;https://www.peglobal.net/;Pharma, Engineering, Care & Healthcare, IT & Data Science, Accounting & Finance
Cork;Premier Recruitment International;Premier Group, Morgan McKinley, Accreate & La Créme;6th Floor Penrose Two, Penrose Dock Victorian Quarter Co. Cork T23 YY09;EA1080;35314321555;;https://www.morganmckinley.com/;Admin & Office, Accounting & Finance, HR, IT & Data Science, Board Level
Cork;Prime HCM (Human Capital Management);Prime HCM;North Point House North Point Business PK Old Mallow Road Co. Cork;EA5371;353852569321;info@primehcm.com;https://www.primehcm.ie/;HR, General Recruitment
Cork;ProCare Recruitmnt Agency Limited;ProCare Recruitmnt Agency Limited;First Floor, Penrose 2 Penrose Dock Co. Cork T23YY09;EA5334;35314428891;info@procarerecruitment.ie;https://procarerecruitment.ie;Care & Healthcare, Social Care
Cork;Profleet Lifting & Rigging Ltd;Profleet Engineering;C5 Urban Offices Ardrostig Bishopstown Co. Cork T12CY95;EA5277;353212010666;info@profleetengineering.com;https://profleetengineering.com;Industrial, Engineering
Cork;Rainbow General Recruitment Limited;Rainbow Recruitment;10.2 Market Square Mallow Co. Cork;EA2081;3532220560;mary@rainbowrecruitment.com;https://www.rainbowrecruitment.com;General Recruitment
Cork;Reliance Care Link Ltd;;22 The Square Buttery Court Mallow Co. Cork P51 EY92;EA5010;353892643030;info@reliancecare.ie;https://reliance.ie;Care & Healthcare
Cork;Richard Lynch Consulting Limited;Richard Lynch Consulting;2 Heathervue Riverstown Glanmire Co. Cork T45 Y272;EA2017;353868333677;richard@rlconsult.com;https://rlconsult.com;Hospitality, Catering
Cork;Sizzla Limited;;82 South Mall Co. Cork;EA5347;;;;General Recruitment
Cork;Skuad Ireland Limited;;First Floor, Penrose Two Penrose Dock Cork City Co. Cork T23 KW81;EA5124;;;;General Recruitment, HR, Remote
Cork;Sps Logistics Staffing Limited;;First Floor Penrose 2 Penrose Dock Co. Cork T23 YY09;EA5063;;;;Logistics & Warehousing
Cork;Superior Health Limited;Kare Plus South Cork;4 South Terrace Ballintemple Co. Cork T12 DP46;EA4855;353539192060;ireland@kareplus.ie;https://kareplus.ie/contact/;Care & Healthcare
Cork;Synergy Central Recruitment (SCR) Limited;Synergy Central Recruitment;Enterprise House Mayfield Business Park Old Youghal Road Co. Cork;EA4510;35315847919;info@synergyrecruitment.ie;https://www.synergyrecruitment.ie/;Construction, Engineering, Technical
Cork;Synergy Compliance Solutions (SCS) Emea Ireland Ltd;;Unit 3D North Point House North Point Business Park New Mallow Road Co. Cork T23 AT2P;EA4508;;corp@scs-emea.com;https://scs-emea.com;Compliance, Safety, QA, Engineering
Cork;Tandem Project Management Limited;Tandem Project Management;11 Nessan House Mahon Industrial Estate Blackrock Co. Cork T12 XN4V;EA3842;+35315886946 | +353212038130 | +353876891995;info@tandempm.ie | tim@tandempm.ie;https://www.tandempm.ie;Project Management, Engineering, Pharma
Cork;Trinity Education Centre;Trinity Education Centre;Parish House Glounthaune Village Co. Cork T45YY28;EA5307;+35316776545 | +35318961000 | +35318961999 | +353214255600;office@cesc.ie;https://www.tcd.ie/ | https://www.trinityeducationcentre.org/;Education, Training
Cork;Ward Personnel Limited;Ward Personnel;Unit 5, Nore House Bessboro Road Blackrock Co. Cork T12 NTX6;EA3512;+35315311280 | +35315390600 | +353212339120;info@wardpersonnel.com | mhadala@wardpersonnel.com;https://wardpersonnel.com;Construction, Logistics & Warehousing, Trades
Cork;West Cork Recruitment Limited;West Cork Recruitment Limited;Bridge Street Teadies Lower Enniskeane Co. Cork P47 FK44;EA5086;+353217011288 | +353879876390;laura@westcorkrecruitment.com;https://westcorkcommunity.ie/employment/ | https://westcorkrecruitment.com;General Recruitment, Care & Healthcare
Cork;Workways Recruitment Limited;;27 Cork Road Midleton Co. Cork;EA4093;+353212439193 | +353212439269;info@workwaysrecruitment.ie;http://www.workwayshiring.com/ | https://workwaysrecruitment.ie;General Recruitment
Cork;You Dream Ltd;;227 Eagle Valley Sarsfield Road Wilton Co. Cork;EA5042;;;;General Recruitment
Donegal;Agape Core Ltd;;An Teach Mor Carrigart Co. Donegal F92XVR7;EA4824;353870916426;info@agapecare.ie;https://agapecare.ie;Social Care, Community Work
Donegal;Donegal EY Recruitment Services Ltd;;22 Cedar Grove Carndonagh Co. Donegal;EA5237;;info@donegaleyrecruitment.com;https://donegaleyrecruitment.com;Education
Donegal;KKSM Staff Solutions Ltd;KKSM Staff Solutions Ltd;21 Academy Court Letterkenny Co. Donegal F92EET3;EA4691;+353749113274 | +353866667717 | +353879410818;bryan@kksmstaffsolutions.ie;https://kksmstaffsolutions.ie;General Recruitment, Care & Healthcare
Donegal;KSK Rathmor Engineering Ltd;;Office 1 11D Elaghbeg Business Park Bridgend Co. Donegal F93 TK49;EA5052;353831595123;aine@kskrathmor.net | barry@kskrathmor.net | stephen@kskrathmor.net;https://kskrathmor.net;Engineering, Technical
Donegal;Martin Ferry Engineering Limited;;2 Chapel Rd Brinlack Letterkenny Co. Donegal;EA5386;353749740768;martin@mfeengineering.com;https://mfeengineering.com;Engineering
Donegal;Miriam Coyle Consulting Limited;Coyle Consulting;Glenceo Carrigart Co. Donegal F92X273;EA3195;353868273462;info@coyleconsulting.ie | mrogers@coyleconsulting.ie;https://coyleconsulting.ie;Public Sector, HR
Donegal;MYM Recruitment Ltd;LYIT;The Colab Port Road, Ballyraine Letterkenny Co. Donegal F92C5XK;EA3347;353749113274;team@mymrecruitment.com;https://www.mymrecruitment.com;Admin & Office, Manufacturing, Care & Healthcare, Education
Donegal;Pardon Manjera;Pardflo;13 The Grange Lurganboy Donegal Town Co. Donegal F94EFY7;EA5103;;;;General Recruitment
Donegal;Phildon (Ireland) Ltd;;Kinvarra Ards Creeslough Co. Donegal F92 DK80;EA5143;;info@phildongroup.com;https://phildongroup.com/about/;General Recruitment
Donegal;Resource and Recruit Emerald Limited;Resource and Recruit;3 Leitir Clonmany Co. Donegal F93 VX39;EA5383;+35319022118 | +353217011270 | +353749320400 | +353863895500;dermot.doherty@resourceandrecruit.com;http://resourceandrecruit.com/;General Recruitment
Donegal;Tailored Facility Solutions Limited;T.F.S. Ireland;Unit 39 Pinehill Industrial Estate Mountaintop Letterkenny Co. Donegal;EA4306;353749177660;accounts@tfsireland.ie | info@tfsireland.ie;https://tfsireland.ie;Cleaning Services, Maintenance Services
Donegal;Woodston Personnel Ltd;;Harbour View Court Shore Road Killybegs Co. Donegal F94 WFW5;EA2177;+35315461076 | +353749732924;admin@woodstonpersonnel.com | info@woodstonpersonnel.com;https://woodstonpersonnel.com;Care & Healthcare, Social Work, Education
Dublin;3D Personnel Limited;;Block 9 Airvista Office Park Swords Road Santry Dublin 9 D09 C8X9;EA3321;35315133101;dublin@3dpersonnel.com;https://3dpersonnel.com;Construction, Accounting & Finance, Engineering
Dublin;A Willi Ltd;;Silverdale Bealinstown Balheary Co. Dublin K67 A0H2;EA4666;353896006906;admin@awilli.ie;https://www.awilligroup.com/contact-us/;General Recruitment
Dublin;A & G Coyle Group Limited;Coyle Group Ltd;51 Bracken Road Sandyford Dublin 18 D18 CV48;EA3644;35319038450;info@coyle-group.com;https://www.coyle-group.com;Technical, Care & Healthcare, Industrial, Construction
Dublin;ABLM Manpower Limited;Properhealthcare Plus;First Floor Templecourt Blackrock Co. Dublin A94 K6K2;EA5200;35340481222;admin@properhealthcarestaffing.com;https://www.properhealthcarestaffing.com/;Care & Healthcare
Dublin;ABM Aviation UK Ltd;Blackjack Promotions;12 Muirfield Drive Naas Road Inchicore Dublin 8;EA4051;353874125428;;;Driving, General Recruitment, Admin & Office
Dublin;Access Nursing Limited;Access Healthcare;2 Westland Square Pearse Street Co. Dublin D02 V960;EA4003;35319015270;info@accesshealthcare.ie;https://accesshealthcare.ie/;Care & Healthcare
Dublin;Accountancy and Business Personnel Limited;Accountancy Solutions;Merchants Hall 25-26 Merchants Quay Dublin 8;EA1077;35316797990;info@accountancysolutions.ie;https://www.accountancysolutions.ie/;Accounting & Finance, HR, Public Sector
Dublin;Accountancy Professionals Limited;ACCPRO;43 Fitzwilliam Place Dublin 2;EA3379;35316522444;info@accpro.ie;https://accpro.ie;Accounting & Finance, Legal, Audit, Industrial
Dublin;Ach Capital Limited;;Glandore 16 Fitzwilliam Place Dublin 2;EA5125;;;;Accounting & Finance
Dublin;Acourt Recruitment Services Ltd;Hynes Agency;52 Lower O'Connell Street Dublin 1. Co. Dublin;EA3777;35318728170;;https://www.hynesagency.ie/;Care & Healthcare
Dublin;Act1 Group-Agile1 Ireland Limited;Agile-1, Agileone;Pelham House South County Business Park Leopardstown Dublin 18;EA3891;;info@agile1.com | ireland@agile1.com;https://agile-one.com;General Recruitment
Dublin;Acumen Resources Search Company Limited;Acumen Resources;54 St Margaret's Road Malahide Co. Dublin K36R761;EA4222;35316099400;ireland@acumen-resources.com;https://acumen-resources.com;Actuarial, Consultancy, Insurance, HR
Dublin;Acutis Recruitment Limited;Acutis Recruitment;Unit 4, First Floor 84 Strand Street Skerries Co. Dublin K34VW93;EA5246;;;;General Recruitment
Dublin;Adamantine Recruitment Limited;;2B Dunsoghly Drive Finglas Dublin 11 D11 VX51;EA5114;353873413483;info@adamantine.ie;https://adamantine.ie;General Recruitment
Dublin;Adaptive HVM Ltd;;20 Stephen Street Lower First Floor Dublin 2 D02 DT04;EA3782;35318366827;info@adaptivehvm.com;https://adaptivehvm.com;Factory
Dublin;Advanced Clinical Research Services Ireland Ltd;;Simmonscourt House Simmonscourt Road Dublin 4 D04 W9H6;EA5093;35315363281;;https://www.advancedclinical.com;Care & Healthcare, Life Sciences, Biotechnology, Pharma
Dublin;Aer Resources Agency Services Limited;;No 1 Grants Row Lower Mount Street Dublin 2;EA4209;;;;General Recruitment
Dublin;Aeroprofessional Recruitment Limited;Aeroprofessional Recruitment Limited;38 Main Street Swords Co. Dublin;EA4353;;admin@aeroprofessional.com | dublin@aeroprofessional.com;https://aeroprofessional.com;Aviation
Dublin;Affinity Healthcare Ltd;Total Healthcare Partnership;Trinity House Charelston Road Ranelagh Dublin 6 D06C8X4;EA5284;;;;Care & Healthcare
Dublin;Africare Agency Limited;;9 Churchwell Grove Belmayne Dublin 13;EA5244;353899645654;info@africare.ie;https://africare.ie;Care & Healthcare, General Recruitment
Dublin;Agility Employment Limited;;First Floor 54 Dawson Street Dublin 2 Dublin 2 DO2 XW44;EA4686;35316874888;hello@recruitergroup.com;https://recruiter.ie/;Hospitality, Retail, Admin & Office
Dublin;AII Limited;Odgers Berndtson;Embassy House Herbert Park Ballsbridge Dublin 4 D04 H6Y0;EA1069;3536697030;;https://www.odgers.com/en-ie/;Board Level
Dublin;Airborne Personnel Limited;;One Earlsfort Centre Lower Hatch Street Dublin 2;EA5331;;;https://airbornepersonnel.info/;Aviation
Dublin;Aire Care Technologies Ltd;;42 Mount Street Upper c/o The Nightingale Dublin 2 D02X3P2;EA5135;+35315242659 | +353830493377;info@airecare.ie;https://airecare.ie/;Care & Healthcare
Dublin;Airport Driving School Ltd;Drivers 5-Star Employment Agency;Eagle House Fields Corner Lower Churchtown Road Churchtown Dublin 14 D14YT66;EA3613;35318068000;;https://airportdrivingschool.com/;Driving, Logistics & Warehousing
Dublin;Ajilon (UK) Limited;Spring Technology / Modis Ireland;Grafter Offices 10 Ely Place Dublin 2 D02HR98;EA1253;;;;IT & Data Science, Engineering, Business Services
Dublin;Akeso Healthsearch Ltd;;20 Essex Street E Temple Bar Dublin 2 D02F670;EA3979;;enquiries@akesohealthsearch.com;https://akesohealthsearch.com/;Care & Healthcare
Dublin;Alexander Mann Outsourcing Solutions Ltd;;Trinity House Charleston Road Ranelagh Dublin 6 D06 C8X4;EA3549;;;;General Recruitment
Dublin;Alldus International Consulting Limited;;The G.E.C. Taylor's Lane Dublin 8 Dublin 8 D08 ET2R;EA4316;35315136666;info@alldus.com;https://alldus.com;IT & Data Science
Dublin;Allegis Global Solutions;Allegis Global Solutions KFT;Ella House by Soonbrook Merrion Sq E Dublin 2 D02NP96;EA4693;;;https://www.allegisglobalsolutions.com/ | https://www.allegisgroup.com/;General Recruitment
Dublin;Allegis Global Solutions Limited;Allegis Global Solutions;Ella House by Soonbrook - Merrion Square E Merrion Square E Dublin 2 D02 NP96;EA4486;;;https://www.allegisglobalsolutions.com | https://www.allegisgroup.com/;General Recruitment, Admin & Office
Dublin;Allegis Group Limited;Allegis Group, Aerotek, Aston Carter Teksystems, Teksystems;Ella House by Soonbrook Merrion Square E Dublin 2 D02 NP96;EA4484;;;https://www.allegisgroup.com;General Recruitment, IT & Data Science, Accounting & Finance, Sales & Marketing, Care & Healthcare
Dublin;Allen Outsource Ltd;;19 Pembroke Street Upper Co. Dublin D02K738;EA5338;35316694040;info@allenrec.com;https://www.allenrec.com;General Recruitment
Dublin;Allen Recruitment Consulting Limited;Allen Recruitment Consulting;19 Upper Pembroke Street Dublin 2;EA1427;35316694040;info@allenrec.com;https://www.allenrec.com;IT & Data Science, Accounting & Finance, Care & Healthcare, Engineering
Dublin;Allied and Clinical Recruitment Limited;;Block 1 Blanchardstown Corporate Park Ballycoolin Road Blanchardstown Dublin 15 D15;EA4962;;;;Care & Healthcare, General Recruitment
Dublin;Alpha Workforce Limited;;21 Priory Office Close Stillorgan Co. Dublin A94 F660;EA4216;;;;Hospitality, Cleaning Services, General Recruitment
Dublin;Angel Care Consultancy Ltd;;Ashleigh House JFK Industrial Estate JFK Road Dublin 12 D12VE06;EA4698;+35314659956 | +353831072792;;;Care & Healthcare
